# Program:featureCounts v2.0.6; Command:"featureCounts" "-p" "-B" "-C" "-P" "--fracOverlap" "0.5" "-T" "4" "-s" "2" "-a" "all.gff" "-t" "CDS" "-g" "locus_tag" "-o" "SRX22720573_cds.txt" "SRX22720573.bam" 
Geneid	Chr	Start	End	Strand	Length	SRX22720573.bam
ZMO1_ZMO0369	CP023715.1	376055	377029	+	975	269210
ZMO1_ZMO0371	CP023715.1	377532	378221	-	690	555
ZMO1_ZMO0372	CP023715.1	378393	378854	+	462	377
ZMO1_ZMO0373	CP023715.1	378851	379204	-	354	163
ZMO1_ZMO0374	CP023715.1	380042	381313	+	1272	13013
ZMO1_ZMO0375	CP023715.1	381469	382710	+	1242	1151
ZMO1_ZMO0376	CP023715.1	383001	385427	-	2427	54440
ZMO1_ZMO0377	CP023715.1	385623	386243	+	621	468
ZMO1_ZMO0378	CP023715.1	386327	386833	+	507	267
ZMO1_ZMO0379	CP023715.1	386833	388119	+	1287	563
ZMO1_ZMO0380	CP023715.1	388162	390351	+	2190	1039
ZMO1_ZMO0381	CP023715.1	390351	390650	+	300	232
ZMO1_ZMO0383	CP023715.1	390773	391624	+	852	837
ZMO1_ZMO0384	CP023715.1	391650	391757	+	108	30
ZMO1_ZMO0385	CP023715.1	391942	392061	+	120	370
ZMO1_ZMO0387	CP023715.1	392090	393004	+	915	1197
ZMO1_ZMO0388	CP023715.1	393158	393484	+	327	203
ZMO1_ZMO0389	CP023715.1	393494	394153	+	660	355
ZMO1_ZMO0390	CP023715.1	394147	395568	+	1422	620
ZMO1_ZMO0391	CP023715.1	395565	395813	+	249	70
ZMO1_ZMO0392	CP023715.1	395792	396295	+	504	182
ZMO1_ZMO0393	CP023715.1	396296	396967	+	672	219
ZMO1_ZMO0394	CP023715.1	396980	397654	+	675	331
ZMO1_ZMO0395	CP023715.1	397834	398202	+	369	332
ZMO1_ZMO0397	CP023715.1	398199	398645	+	447	382
ZMO1_ZMO0398	CP023715.1	398650	399051	+	402	317
ZMO1_ZMO0399	CP023715.1	399056	400057	+	1002	1097
ZMO1_ZMO0400	CP023715.1	400062	402716	+	2655	2116
ZMO1_ZMO0401	CP023715.1	402726	404777	-	2052	981
ZMO1_ZMO0402	CP023715.1	404997	405662	-	666	2019
ZMO1_ZMO0403	CP023715.1	405659	406762	-	1104	3501
ZMO1_ZMO0405	CP023715.1	407713	410034	+	2322	32654
ZMO1_ZMO0406	CP023715.1	410124	410945	-	822	3818
ZMO1_ZMO0407	CP023715.1	411097	411789	+	693	15111
ZMO1_ZMO0408	CP023715.1	412024	413214	+	1191	44438
ZMO1_ZMO0409	CP023715.1	413245	414186	+	942	26936
ZMO1_ZMO0410	CP023715.1	414315	415238	+	924	4937
ZMO1_ZMO0411	CP023715.1	415313	417295	+	1983	6520
ZMO1_ZMO0412	CP023715.1	417491	418117	-	627	4170
ZMO1_ZMO0413	CP023715.1	418306	418632	-	327	2309
ZMO1_ZMO0414	CP023715.1	418656	419696	-	1041	11648
ZMO1_ZMO0416	CP023715.1	419902	420603	+	702	850
ZMO1_ZMO0417	CP023715.1	420600	421475	+	876	939
ZMO1_ZMO0418	CP023715.1	421507	422118	+	612	1202
ZMO1_ZMO0419	CP023715.1	422167	422919	+	753	1875
ZMO1_ZMO0420	CP023715.1	422968	423849	-	882	6482
ZMO1_ZMO0421	CP023715.1	423850	424959	-	1110	16651
ZMO1_ZMO0422	CP023715.1	425526	425933	+	408	3986
ZMO1_ZMO0423	CP023715.1	425933	427405	+	1473	12393
ZMO1_ZMO0425	CP023715.1	427420	428172	+	753	5104
ZMO1_ZMO0426	CP023715.1	428169	429284	+	1116	4635
ZMO1_ZMO0427	CP023715.1	429281	430504	+	1224	8667
ZMO1_ZMO0428	CP023715.1	430501	430935	+	435	3642
ZMO1_ZMO0429	CP023715.1	430974	431315	+	342	1845
ZMO1_ZMO0430	CP023715.1	431440	432108	+	669	6029
ZMO1_ZMO0431	CP023715.1	432142	432972	+	831	27571
ZMO1_ZMO0432	CP023715.1	433040	433912	-	873	3041
ZMO1_ZMO0433	CP023715.1	434260	434910	-	651	6047
ZMO1_ZMO0435	CP023715.1	435064	435507	-	444	36367
ZMO1_ZMO0436	CP023715.1	435636	436034	-	399	785
ZMO1_ZMO0437	CP023715.1	436192	436413	+	222	749
ZMO1_ZMO0439	CP023715.1	436668	437792	+	1125	6035
ZMO1_ZMO0440	CP023715.1	437902	438192	+	291	3210
ZMO1_ZMO0441	CP023715.1	438219	438923	+	705	11140
ZMO1_ZMO0442	CP023715.1	438961	439596	+	636	10803
ZMO1_ZMO0443	CP023715.1	439680	440717	-	1038	25084
ZMO1_ZMO0444	CP023715.1	441046	442092	+	1047	10289
ZMO1_ZMO0445	CP023715.1	442089	443654	+	1566	7638
