Sample	Bowtie 1_mqc-generalstats-bowtie_1-reads_aligned	featureCounts_mqc-generalstats-featurecounts-Assigned	FastQC_mqc-generalstats-fastqc-avg_sequence_length	FastQC_mqc-generalstats-fastqc-median_sequence_length	Bowtie 1_mqc-generalstats-bowtie_1-reads_aligned_percentage	FastQC_mqc-generalstats-fastqc-percent_gc	Cutadapt_mqc-generalstats-cutadapt-percent_trimmed	FastQC_mqc-generalstats-fastqc-total_sequences	featureCounts_mqc-generalstats-featurecounts-percent_assigned	FastQC_mqc-generalstats-fastqc-percent_duplicates	FastQC_mqc-generalstats-fastqc-percent_fails
SRX14563848	21803475.0	36224546	144.2752598041131	151	90.53	49.0	6.181724371499862	24084203.0	75.20395422676017	86.84771345563378	10.0
SRX14563849	22589437.0	39717723	146.52216677830762	151	96.79	49.0	5.149196394273377	23339702.0	85.08618276274478	87.52576456870932	10.0
SRX14570260	11354125.0	19922783	148.5010462980601	150	93.67	50.0	0.5878912685224481	12121307.0	82.18083660450148	84.48513821082048	18.181818181818183
SRX14570261	8753140.0	15376800	148.6177511192757	150	93.6	50.0	0.5482727906539884	9352030.0	82.21102798002144	82.94656614345496	18.181818181818183
SRX14570262	10042965.0	17642669	148.63784771594862	150	93.88	50.0	0.5342256606957076	10697417.0	82.46228505442015	83.90689908617227	18.181818181818183
SRX14570263	11191508.0	19308143	148.66044182986016	150	92.95	50.0	0.5013445879721667	12040155.0	80.18228585927673	84.77951350759346	27.27272727272727
SRX14570264	11900707.0	20583527	148.7075740109459	150	93.62	50.0	0.47002234343697824	12711059.0	80.96700282800985	85.22185600339549	27.27272727272727
SRX14570265	12967166.0	21509315	148.8052185868335	150	94.06	49.0	0.42997475939980445	13786146.0	78.01061660017238	84.70548524339713	27.27272727272727
SRX14570266	13308482.0	21881553	148.76112787966343	150	93.81	48.0	0.457197573490101	14185946.0	77.12405291828969	83.85261882258855	27.27272727272727
SRX14570267	12869914.0	22507496	148.71559642021882	150	94.16	50.0	0.46159671257799234	13668098.0	82.3358743842779	86.03982594964702	27.27272727272727
SRX14570268	10411117.0	18196313	148.7740590385057	150	93.66	49.0	0.4730898318489473	11115864.0	81.84839702968658	85.58441172291546	18.181818181818183
