Sample	Sense	Undetermined	Antisense
SRX6922027	2.1399999999999997	40.300000000000004	57.56
SRX6922028	2.09	40.410000000000004	57.489999999999995
SRX6922029	2.03	41.22	56.75
SRX7101023	1.69	41.24	57.06
SRX7101024	1.82	39.71	58.47
SRX7101025	1.78	39.89	58.330000000000005
SRX7101026	0.67	43.76	55.57
SRX7101027	0.74	44.84	54.42
SRX7101028	0.7000000000000001	45.0	54.300000000000004
SRX7101029	1.8900000000000001	40.42	57.69
SRX7101030	1.51	40.68	57.809999999999995
SRX7101031	1.7399999999999998	40.94	57.32000000000001
SRX7101032	2.31	47.83	49.86
SRX7101033	1.7500000000000002	44.95	53.300000000000004
SRX7101034	1.7000000000000002	46.28	52.019999999999996
SRX7101035	9.030000000000001	46.96	44.01
SRX7101036	1.91	39.34	58.75
SRX7101037	1.5	37.63	60.870000000000005
SRX7101038	1.69	38.3	60.019999999999996
SRX7101039	2.07	37.669999999999995	60.260000000000005
SRX7101040	1.91	36.809999999999995	61.27
SRX7101041	1.72	38.86	59.419999999999995
SRX7551986	1.78	40.47	57.74
SRX7551987	1.6500000000000001	39.489999999999995	58.86
SRX7551988	2.1399999999999997	40.28	57.58
SRX7551989	2.1999999999999997	40.58	57.230000000000004
SRX7551990	2.0500000000000003	41.94	56.00000000000001
SRX7551991	2.04	40.47	57.489999999999995
SRX8694706	1.9800000000000002	43.18	54.83
SRX8694707	1.76	42.58	55.66
SRX8694708	2.04	42.34	55.620000000000005
SRX8694709	1.97	42.809999999999995	55.230000000000004
SRX8694710	1.24	40.050000000000004	58.709999999999994
SRX8694711	1.23	41.18	57.589999999999996
SRX8694712	1.0699999999999998	42.35	56.57
SRX8694713	0.9900000000000001	41.339999999999996	57.67
SRX8694714	1.17	42.17	56.66
SRX8694715	1.6	42.089999999999996	56.31
SRX8694716	1.35	41.78	56.86
SRX8694717	1.51	41.099999999999994	57.4
SRX8694718	1.09	43.05	55.86
SRX8694719	1.28	43.38	55.33
SRX8694720	1.0	40.38	58.60999999999999
SRX8694721	1.4200000000000002	40.11	58.46
SRX8694722	1.16	40.42	58.42
SRX8694723	0.9199999999999999	43.46	55.620000000000005
SRX8694724	1.1400000000000001	43.059999999999995	55.81
SRX8694725	1.03	43.8	55.169999999999995
SRX8694726	0.79	45.2	54.010000000000005
SRX8694727	0.88	45.07	54.05
SRX8694728	0.86	45.04	54.1
SRX8694729	0.95	45.07	53.99
