Sample	Unassigned_Read_Type	Unassigned_Chimera	Unassigned_Overlapping_Length	Unassigned_Secondary	Unassigned_MappingQuality	Unassigned_FragmentLength	Assigned	percent_assigned	Unassigned_MultiMapping	Unassigned_Singleton	Unassigned_NoFeatures	Unassigned_Duplicate	Unassigned_rRNA	Total	Unassigned_NonSplit	Unassigned_Unmapped	Unassigned_Ambiguity
SRX2037691	0	0	1257781	0	0	0	17483394	52.13605704271196	0	0	4887654	0	3066643	33534170	0	6825450	13248
SRX2037693	0	0	1005248	0	0	0	14314367	42.332836751980594	0	0	4248018	0	8828815	33813862	0	5405466	11948
SRX2037695	0	0	1113731	0	0	0	14964078	51.25656717062073	0	0	4593311	0	3721143	29194460	0	4789308	12889
SRX2037697	0	0	1139158	0	0	0	15806384	51.41795739758459	0	0	4842895	0	3917113	30740980	0	5021834	13596
SRX2037699	0	0	1254625	0	0	0	16549935	51.90772783332152	0	0	4525749	0	2067439	31883374	0	7474110	11516
SRX2037713	0	0	1211576	0	0	0	14817772	44.59904158441542	0	0	4965345	0	2465787	33224418	0	9752354	11584
SRX2037715	0	0	1101827	0	0	0	14853116	43.06804959656168	0	0	4876991	0	3791205	34487552	0	9851914	12499
SRX2037717	0	0	794518	0	0	0	11315215	43.44547851549601	0	0	3474396	0	5792106	26044632	0	4658650	9747
SRX2116174	0	0	118585	0	0	0	2114057	29.081636583437287	0	0	505862	0	2212107	7269388	0	2317034	1743
SRX2116175	0	0	107862	0	0	0	1959750	25.12709392449371	0	0	497507	0	2267505	7799350	0	2964982	1744
SRX2116176	0	0	210598	0	0	0	3792618	54.69485761752719	0	0	385490	0	2018791	6934140	0	524232	2411
SRX21659709	0	0	444335	0	0	0	14010097	68.45779388786075	0	0	985349	0	3664125	20465306	0	1353868	7532
SRX21659710	0	0	532676	0	0	0	16654994	74.36047291402613	0	0	1001211	0	2675510	22397644	0	1524268	8985
SRX21659711	0	0	1034020	0	0	0	34710067	69.17849627963508	0	0	2516867	0	8748838	50174648	0	3146570	18286
SRX22720559	0	0	1533992	0	0	0	30017058	82.73314594818667	0	0	2105265	0	413734	36281780	0	2189128	22603
SRX22720560	0	0	1511623	0	0	0	30199486	83.3685474820669	0	0	2107234	0	442224	36224076	0	1940142	23367
SRX22720561	0	0	1627579	0	0	0	30521793	84.3209372445415	0	0	1927686	0	212298	36197170	0	1887646	20168
SRX22720562	0	0	1594097	0	0	0	30021853	83.23214496514585	0	0	2220825	0	346665	36070022	0	1865774	20808
SRX22720563	0	0	1590127	0	0	0	29977116	83.08405994534549	0	0	2083831	0	294621	36080466	0	2114412	20359
SRX22720564	0	0	1579687	0	0	0	30522345	84.10579155600844	0	0	2045050	0	349680	36290420	0	1773506	20152
SRX22720565	0	0	1514187	0	0	0	30114293	83.41058214447035	0	0	1919146	0	467744	36103684	0	2066092	22222
SRX22720566	0	0	1528685	0	0	0	29862667	82.43169504343784	0	0	1987082	0	383423	36227166	0	2442432	22877
SRX22720567	0	0	1601064	0	0	0	30660098	85.05633729828868	0	0	1606553	0	352211	36046812	0	1805610	21276
SRX22720568	0	0	1595706	0	0	0	30330832	84.08157879417072	0	0	1760823	0	365155	36073100	0	1999978	20606
SRX22720569	0	0	1536168	0	0	0	30137382	83.3013633587772	0	0	1927075	0	683673	36178738	0	1871568	22872
SRX22720570	0	0	1513661	0	0	0	30268266	83.53192090158488	0	0	2017700	0	343079	36235568	0	2070598	22264
SRX22720571	0	0	1660225	0	0	0	30281755	83.49624911807373	0	0	2232668	0	153964	36267204	0	1917162	21430
SRX22720572	0	0	1875042	0	0	0	30306175	83.88153369742494	0	0	2375069	0	112133	36129734	0	1440508	20807
SRX22720573	0	0	1585325	0	0	0	30111518	83.52004341159099	0	0	2094991	0	355502	36053044	0	1885030	20678
SRX22720574	0	0	1539652	0	0	0	30047038	83.08916996659514	0	0	2160241	0	291442	36162400	0	2098450	25577
SRX22720575	0	0	1528454	0	0	0	30021164	83.33030502427839	0	0	2098515	0	338852	36026706	0	2014826	24895
SRX22720576	0	0	1607889	0	0	0	30328233	84.0383200489817	0	0	2057144	0	261377	36088576	0	1811432	22501
SRX22720577	0	0	1506266	0	0	0	30114100	83.26386866637904	0	0	1965346	0	592674	36167068	0	1964584	24098
SRX22720578	0	0	1554580	0	0	0	30393177	84.26476598829576	0	0	1942978	0	312805	36068666	0	1840182	24944
SRX22720579	0	0	1589034	0	0	0	30272441	83.65193113163288	0	0	2068574	0	222103	36188574	0	2012926	23496
SRX3316529	0	0	3299907	0	0	0	53525811	78.2823622572322	0	0	8977763	0	96058	68375314	0	2435716	40059
SRX3316530	0	0	2537500	0	0	0	46720045	85.67107378392119	0	0	3244591	0	107067	54534212	0	1888748	36261
SRX3316531	0	0	2650440	0	0	0	46134514	84.23345307810374	0	0	3969491	0	86994	54769824	0	1893632	34753
SRX3316532	0	0	2779609	0	0	0	51766795	82.75638474583104	0	0	4253172	0	83614	62553234	0	3638466	31578
SRX3316533	0	0	2842815	0	0	0	51633800	83.25783222299886	0	0	4834141	0	62273	62016748	0	2607264	36455
SRX3316534	0	0	2398370	0	0	0	43952652	82.24554091396735	0	0	3922292	0	58741	53440772	0	3079790	28927
SRX3316535	0	0	2694249	0	0	0	46749217	83.19321107825404	0	0	3707774	0	52116	56193548	0	2959702	30490
SRX3316536	0	0	2198230	0	0	0	38165422	70.4460903895023	0	0	9978091	0	698922	54176778	0	3103068	33045
